Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B),Available_avg(B)
1634562749,0,0,0,0,0,0,0
1634562750,2252800,4046198784,0,0,23522713600,17711931392,5810782208
1634562780,2252800,4048345088,0,0,23522713600,17711497216,5811216384
1634562810,2252800,4048345088,0,0,23522713600,17711497216,5811216384
1634562840,2252800,4049338368,0,0,23522713600,17715873792,5806839808
1634562870,2252800,4049879040,0,0,23522713600,17713807360,5808906240
1634562900,2252800,4052230827,0,0,23522713600,17715261440,5807452160
1634562930,2252800,4052230827,0,0,23522713600,17715261440,5807452160
1634562960,2252800,4053196800,0,0,23522713600,17717496491,5805217109
1634562990,2252800,4054538240,0,0,23522713600,17704398165,5818315435
1634563020,2252800,4057491456,0,0,23522713600,17725296640,5797416960
1634563050,2252800,4057491456,0,0,23522713600,17725296640,5797416960
1634563080,2252800,4058618539,0,0,23522713600,17718493867,5804219733
1634563110,2252800,4059193344,0,0,23522713600,17718222848,5804490752
1634563140,2252800,4062790997,0,0,23522713600,17715107840,5807605760
1634563170,2252800,4062790997,0,0,23522713600,17715107840,5807605760
1634563200,2252800,4066728619,0,0,23522713600,17719586133,5803127467
1634563230,2252800,4068595712,0,0,23522713600,17717679445,5805034155
1634563260,2252800,4072602283,0,0,23522713600,17720670891,5802042709
1634563290,2252800,4072602283,0,0,23522713600,17720670891,5802042709
1634563320,2252800,4073779883,0,0,23522713600,17737515008,5785198592
1634563350,2252800,4075431253,0,0,23522713600,17684561920,5838151680
1634563380,2252800,4077974187,0,0,23522713600,17616705536,5906008064
1634563410,2252800,4077974187,0,0,23522713600,17616705536,5906008064
1634563440,2252800,4079316309,0,0,23522713600,17618445653,5904267947
1634563470,2252800,4079618048,0,0,23522713600,17616780629,5905932971
1634563500,2252800,4082012843,0,0,23522713600,17610388821,5912324779
1634563530,2252800,4082012843,0,0,23522713600,17610388821,5912324779
1634563560,2252800,4083152896,0,0,23522713600,17610130773,5912582827
1634563590,2252800,4084484096,0,0,23522713600,17613765291,5908948309
1634563620,2252800,4091215189,0,0,23522713600,17618591744,5904121856
1634563650,2252800,4091215189,0,0,23522713600,17618591744,5904121856
1634563680,2252800,4092045312,0,0,23522713600,17616472064,5906241536
1634563710,2252800,4092809216,0,0,23522713600,17613877248,5908836352
1634563740,2252800,4095019691,0,0,23522713600,17616276139,5906437461
1634563770,2252800,4095019691,0,0,23522713600,17616276139,5906437461
1634563800,2252800,4096162475,0,0,23522713600,17620304555,5902409045
1634563830,2252800,4096536576,0,0,23522713600,17622657024,5900056576
1634563860,2252800,4099523925,0,0,23522713600,17620185771,5902527829
1634563890,2252800,4099523925,0,0,23522713600,17620185771,5902527829
1634563920,2252800,4101027157,0,0,23522713600,17638295552,5884418048
1634563950,2252800,4101593771,0,0,23522713600,17619826005,5902887595
1634563980,2252800,4106201088,0,0,23522713600,17626170709,5896542891
1634564010,2252800,4106201088,0,0,23522713600,17626170709,5896542891
1634564040,2252800,4108191061,0,0,23522713600,17625657344,5897056256
1634564070,2252800,4108939947,0,0,23522713600,17622583979,5900129621
1634564100,2252800,4111017984,0,0,23522713600,17624803328,5897910272
1634564130,2252800,4111017984,0,0,23522713600,17624803328,5897910272
1634564160,2252800,4112301397,0,0,23522713600,17624660651,5898052949
1634564190,2252800,4113472171,0,0,23522713600,17625689429,5897024171
1634564220,2252800,4116050603,0,0,23522713600,17627123029,5895590571
1634564250,2252800,4116050603,0,0,23522713600,17627123029,5895590571
1634564280,2252800,4117168128,0,0,23522713600,17628499968,5894213632
1634564310,2252800,4117997568,0,0,23522713600,17628600320,5894113280
1634564340,2252800,4120285867,0,0,23522713600,17626626048,5896087552
1634564370,2252800,4120285867,0,0,23522713600,17626626048,5896087552
1634564400,2252800,4121612971,0,0,23522713600,17631141888,5891571712
1634564430,2252800,4122269696,0,0,23522713600,17636051627,5886661973
1634564460,2252800,4125573803,0,0,23522713600,17640320341,5882393259
1634564490,2252800,4125573803,0,0,23522713600,17640320341,5882393259
1634564520,2252800,4126970539,0,0,23522713600,17649722709,5872990891
1634564550,2252800,4127694165,0,0,23522713600,17639472469,5883241131
1634564580,2252800,4130025472,0,0,23522713600,17637382144,5885331456
1634564610,2252800,4130025472,0,0,23522713600,17637382144,5885331456
1634564640,2252800,4131224235,0,0,23522713600,17638739285,5883974315
1634564670,2252800,4131772416,0,0,23522713600,17636431872,5886281728
1634564700,2252800,4133978795,0,0,23522713600,17640811179,5881902421
1634564730,2252800,4133978795,0,0,23522713600,17640811179,5881902421
1634564760,2252800,4135069013,0,0,23522713600,17641594880,5881118720
1634564790,2252800,4136364032,0,0,23522713600,17645154987,5877558613
1634564820,2252800,4138942464,0,0,23522713600,17643571883,5879141717
1634564850,2252800,4138942464,0,0,23522713600,17643571883,5879141717
1634564880,2252800,4139935744,0,0,23522713600,17638015659,5884697941
1634564910,2252800,4140603392,0,0,23522713600,17638782976,5883930624
1634564940,2252800,4142747648,0,0,23522713600,17639267669,5883445931
1634564970,2252800,4142747648,0,0,23522713600,17639267669,5883445931
